,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66
MOTN-1,-0.20644352,-0.2470008,-0.53833663,-0.67874515,-0.8946086,-1.0651528,-0.5997486,-0.82435024,-1.3000772,0.5869875,-0.31692412,-0.8209313,1.4181702,0.610029,0.32958853,0.22994569,-0.6751188,0.55196154,-0.23405048,0.31025568,-0.5423753,-0.62572956,-0.71438354,0.70008594,0.36152908,0.7215396,0.49536833,-0.45287368,-0.48055035,0.23733957,-0.10447761,-0.4200103,-0.16102563,-0.409779,-1.2587881,0.9036309,-0.30273235,-1.2097406,0.599015,0.056159228,1.5229334,0.0080939755,-0.15471934,-1.1025999,0.22153476,0.03743869,-0.71680915,-1.7405595,0.14812963,-0.47820124,-0.31099612,0.3872847,-0.13332108,-0.99000084,-0.33381715,1.284537,0.5450267,-0.5782358,-0.3133416,0.0021694899,0.78508955,-0.5389788,-0.789819,-0.46578398,0.5876467,0.19430916,1.4164693
TALL-1 [Human adult T-ALL],1.205259,-0.37840354,0.7087929,1.9846206,1.6727402,5.399295,-2.1695862,-0.1116218,2.1587176,-0.19768265,1.5800107,-2.366679,0.9468211,0.19058447,-4.4955926,1.064454,1.8566895,-2.300944,1.1125805,-1.0252026,-1.7279954,-3.4002318,-1.6445659,1.297638,-2.0844696,-1.6892905,1.5538094,2.6851685,-1.6191185,-0.43665606,-1.5793433,0.715599,2.0720258,-0.81951976,3.3868842,2.983356,-0.86841327,2.5500247,1.4412843,2.517804,-1.7511531,0.99421763,3.5939913,-0.8469708,3.2844534,-1.9932108,0.075314105,1.6961265,1.2720647,4.8869233,-4.8729744,2.9142203,-4.7759476,0.5389893,-0.86003476,-1.4668711,-0.61161125,3.8104944,0.5144027,-3.076729,1.2199019,-1.0384212,0.9275992,-2.349275,-3.5229428,0.25930607,1.6535789
TE-15,1.9533267,0.19422798,-1.9540559,0.7312228,0.32601917,-0.80883867,0.52451557,-0.80682045,0.05862853,0.19348271,-1.5806918,1.3099593,-2.3653169,0.844237,0.3909439,0.6184175,0.6565484,0.8129339,-2.4861012,0.30049103,1.1223601,0.0006687045,-0.8479514,2.552163,0.68574786,0.3132612,0.059597135,0.3667978,-0.0063792765,0.46599972,-0.7013547,-0.05358988,1.647985,-0.12740855,0.46395588,-3.6539161,-0.8226386,0.68333626,-1.5476872,-0.2204951,-1.2257644,-0.066358946,-0.98233217,-0.219158,0.31336242,-2.3969724,-0.6646195,0.51875544,-0.20406029,-1.2274014,-2.2330353,0.12115489,0.5105875,-2.5824618,1.8299243,0.11038387,-0.5740366,0.92970175,-1.3972889,0.731083,0.4801766,0.7955884,1.4989649,1.5129668,1.2952359,0.8533848,-0.78814954
HCC1395,-1.0039028,0.72225994,-0.35135138,-0.83777946,-1.3386008,-1.0031084,-0.49643034,-0.510211,-0.35970953,0.7871903,0.22630021,-0.28894755,0.51798934,0.33973172,0.22383945,-0.18672872,-0.031276576,1.0676728,0.18490133,-0.45288265,-0.0032796636,-0.55389434,-0.3445589,0.4181663,0.11478527,1.2241702,0.17460577,-0.6094039,-1.0462706,-0.16493148,0.20955442,-0.69612765,-0.3311556,0.9099053,-0.6901481,0.49574006,-0.14091323,-1.33373,0.50983995,-0.11871007,1.1036154,-0.60216177,-0.60670686,-0.033663645,-0.14091653,0.8676613,-0.62580097,-0.28634772,-0.32797778,-0.06622438,-0.2577938,-0.06322751,0.20488673,-1.02375,-0.41716897,0.5528722,0.6090864,-0.4834178,-0.1542308,0.114535436,-0.010117762,-0.18023603,-0.8797411,0.12183094,0.5720969,-0.13103038,0.25240445
KYSE-180,1.4905726,-1.9938031,-0.5863086,-1.3173134,1.4687263,1.5649946,-2.8157945,-0.6647697,0.3205279,0.09965429,-2.8761773,1.1961528,2.6107986,-0.6589173,-1.0875205,-0.7020691,0.45456815,-0.18145767,-0.23888722,-0.47913244,1.8174192,2.062924,-0.28498316,1.3994673,-1.251587,0.72727025,-1.2140901,-0.5036028,0.35062662,2.0177224,1.3185776,-0.40481535,-0.9811691,-0.37386012,-1.204013,-0.98251987,0.47068033,0.652637,-3.1572511,0.97942114,-1.1898577,-0.625229,1.2739276,-1.2122445,0.43163604,-0.89521533,1.3051858,0.6883381,2.0871952,-0.8712407,-1.304488,2.5154064,-1.1821035,0.34808546,-2.0918584,0.8217517,-0.5056515,-1.1805942,0.9318317,0.20551914,-0.92450714,0.05220866,-0.015934557,0.74743754,-1.7603898,-0.26440555,-2.8161788
KU-19-19,-0.7954605,0.57684904,-0.45288086,-0.69549155,-1.2644042,-0.73420465,-0.5452183,-0.64699656,-0.40530628,0.5079789,0.1429679,0.06010273,0.74453646,0.37524587,0.12386531,-0.06018546,0.04550645,1.0552956,0.1810048,-0.51287454,0.012325808,-0.28293282,-0.3926336,0.35498533,0.13531074,1.2686998,0.47187454,-0.81400883,-0.8887807,-0.26727197,0.26386732,-0.29835942,-0.41143677,0.5016632,-0.38260868,0.47499093,0.094316274,-1.1821871,0.5238736,-0.35172796,1.1313794,-0.13790654,-0.6177554,-0.2632773,0.022426367,0.48802146,-0.6487181,-0.26067314,-0.29258966,-0.21810943,0.16816804,-0.24559173,0.12636589,-0.88753486,-0.34394434,0.35340494,0.5458045,-0.31553835,-0.09610317,0.28488037,-0.14388928,-0.33523044,-0.75833046,0.17736942,0.22603992,0.030614674,-0.015463244
Namalwa,-0.95305914,0.73612297,-0.49577132,-0.921723,-1.3267689,-0.9128588,-0.6461884,-0.5895054,-0.36074147,0.7791303,0.30883026,-0.40080893,0.6341439,0.3455223,-0.004669532,-0.11658895,-0.032166783,1.0911089,0.055864647,-0.6406287,-0.034361318,-0.38915068,-0.2852429,0.4281933,0.18892236,1.2976837,0.2213092,-0.6888257,-1.1550412,-0.55388343,0.25623864,-0.45484048,-0.32848397,0.76410973,-0.6576602,0.48104402,-0.10539609,-1.3274062,0.5871037,-0.04808377,1.1048942,-0.34851322,-0.6834078,-0.23530349,-0.18394983,0.5243206,-0.2560393,-0.32635424,-0.32380703,0.1403552,-0.02723535,0.22918347,0.13089278,-0.94320554,-0.43150753,0.6322557,0.64165974,-0.57702845,-0.36779186,0.18206775,-0.020033011,-0.18724488,-0.0701403,-0.4119311,0.7178106,-0.41353673,0.3795005
KPL-1,-0.05132997,-0.24019818,0.6883246,0.6433054,-0.331649,2.144119,-0.3393434,0.21625492,-0.593633,-1.2419199,-0.30515748,0.33596468,2.0276108,-0.6333369,0.098646596,-1.9126787,0.72591174,-0.13813226,1.8904803,-0.9297976,1.2116878,1.8237212,0.46250254,0.18889694,-1.6560524,1.3028373,-1.7935737,-0.765531,0.9934414,1.2911794,0.46686262,0.10143129,-0.6302013,-0.3333359,0.3630221,0.6099882,1.2599127,-1.2043347,-0.32401162,0.26601323,-2.7907012,0.6530013,2.202198,-0.20831072,-1.412083,0.6663151,-0.74328595,-0.49162614,0.7734264,-1.3252103,0.039570436,2.2316537,0.029176446,2.2390375,-2.664236,0.508488,-0.4838701,1.0293527,2.6660628,0.42160994,-1.897948,-0.4484552,-0.30086887,0.42351395,-1.0047121,-0.87557787,0.4466679
WM1799,-0.55123943,-1.1080267,-0.115650535,-0.65823925,0.2061293,-1.2362541,-0.35565254,-0.66310835,-0.46284622,0.7219992,-0.3990734,-0.07709657,0.87928367,1.5621395,0.18959145,0.43266022,-0.29299742,0.85731167,-0.59973586,0.11132327,-0.8320248,0.349105,0.6201144,0.2665936,1.1539868,1.2466229,0.4663674,0.03708953,0.4166615,1.6659377,0.10425676,-1.0170875,-0.21429361,0.20455489,-0.6619868,-0.040760785,-0.17869353,-1.0918308,0.40113115,-0.6566054,0.9063002,0.32703662,-0.43039548,-0.40371794,-0.1378748,0.9200082,-0.31804323,-1.7750292,0.18717684,0.10012798,-0.14312188,-0.48024917,-0.031334475,0.54402447,0.44149,0.70659685,-0.031082373,-0.61606586,-0.29253343,-0.12182345,-0.6521,-0.7293515,-0.15947956,-0.5664185,0.50180966,0.202725,-0.38107356
SNU-1272,-0.08404672,-1.5680867,1.0122473,0.88053346,-0.8813187,3.5548482,-0.12807645,1.0438759,0.7079507,-0.57505184,-1.3620405,0.05514613,0.6013262,-1.4130702,0.24381238,-0.25889236,0.808815,-0.28289202,-0.269715,0.864623,-1.0687099,2.046751,0.22733304,0.29752016,0.31392998,-0.3930613,-0.34059602,0.04414186,-0.3787795,-0.3233417,0.24245563,0.5009133,0.36324826,-0.8066895,-0.7063001,-1.0001252,0.0470505,0.27800208,-0.55736625,0.95703876,-1.3538246,-0.008271247,0.8650067,1.4021859,-3.37228,0.7608186,1.55449,-0.28689298,2.2291684,-0.8969247,-0.5490154,2.5790968,0.39275268,0.4269418,0.71374893,1.2417479,0.65568763,0.41332188,1.9951777,1.3561347,-1.1264668,-1.1412845,0.5627148,2.1894495,-2.9212487,-0.5168757,-0.90545315
HCC1143,2.5372326,0.440568,-0.44434258,3.9057672,1.7539028,3.6007378,2.876972,-0.48377892,-0.04864447,-1.6716646,-1.6755165,1.3252066,1.1781223,-0.2640648,0.76951885,-1.0323173,0.93987936,-1.9806458,-0.1980169,2.2573352,-0.42440903,2.1783116,-0.83639336,0.36192447,-3.1498613,-3.9313595,0.46037537,1.2687865,2.0982308,0.16577175,-0.16615014,1.4174215,-1.853385,-0.49649101,-0.93032396,1.8410169,-0.18415216,1.2159119,1.6584493,-0.226556,-2.058653,-0.3257704,2.2519827,-0.5253221,-3.1740592,-1.1183453,1.0603305,1.2121049,0.2841812,0.62723166,1.4795626,-1.1614606,0.42204797,2.462856,-0.7400408,-1.3112785,-0.041361496,1.1266006,-0.42460987,0.8757519,0.92767876,1.6323775,1.0113757,1.067291,-2.5455368,-0.18943948,-1.7808907
EFO-27,-0.41728574,0.8682234,-0.9151429,-0.37229508,-0.84852916,-0.885826,-0.64494383,-0.85251045,0.047036894,0.08336047,0.47032416,-0.5432456,0.09595181,0.5376739,-0.40595925,0.17541265,0.143992,0.96448284,-0.2588239,-0.3381884,0.047954954,-0.7199993,-0.08369088,0.5225678,0.019364493,0.65348744,0.117264286,-0.15762942,-0.77525413,-0.19373406,0.42780545,-0.22995137,0.13584489,0.61903065,-0.2767263,0.013484556,0.6215906,-0.5123074,-0.044346485,-0.14711465,0.41847214,-0.17489876,-0.42483193,-0.056542486,0.3496616,0.13731804,-1.1118542,-0.5204671,-0.32299086,0.14545234,-0.34958118,0.26797193,0.31782517,-0.96272504,-0.36324382,0.04387739,0.5444237,-0.23596242,-0.30285648,0.74561405,-0.23040839,-0.33480713,-0.41471958,-0.4842915,0.59732497,0.123360656,0.4727708
NCI-H82,0.32397637,-1.6368583,-1.3642485,1.6561602,1.7531662,1.505251,1.5464381,0.09905146,0.2933533,1.1608672,1.140974,1.5317705,-0.11851585,0.43800327,0.012440458,0.52630967,-1.1319885,-1.2593079,-0.9061684,0.44043306,-1.7120701,2.4187222,-1.0930344,-0.3972508,0.65636796,-2.54273,3.0183172,0.7580195,-0.5640652,-0.09292558,-1.2382181,2.8484974,0.5964831,-1.0066438,-2.2733972,0.68471456,-1.5729121,-0.91641706,1.5261989,-0.15906575,0.37424672,1.9298836,0.88452005,-3.0142982,-0.829022,0.98825645,0.16252014,-0.8328709,-0.63847446,0.8352078,-0.98345184,0.65615034,-1.2237716,0.01869671,1.2078229,-0.21619685,-0.05834546,2.994082,-0.55185443,-0.849278,-0.11770205,-1.6129198,-1.047224,0.4064259,-1.3024342,0.6686602,1.0207968
SW1271,2.723785,2.068037,-1.6398311,0.7309814,-2.7878344,0.8315739,0.24184656,-0.06691019,1.7800931,-2.022328,-0.98516273,-1.0724528,-0.01141974,-0.37310046,1.0086324,1.1730573,1.143608,0.93186265,-0.5667471,1.0888401,1.0963564,-2.0925078,-0.24922517,0.70409244,-1.216529,0.47986606,-1.0279089,0.21479496,2.139874,-2.1668704,3.2496142,0.08541378,1.2054601,0.65087074,1.8701842,-0.7161674,1.455616,-0.6269463,-1.5602224,-3.07136,-1.9747987,0.15881932,0.21373267,1.4319874,-0.6583435,-1.222205,-2.875425,1.0118638,-0.04709939,-2.227396,1.9531065,0.6579428,2.530357,-1.2101381,0.866096,-1.162867,0.22633041,1.3722978,1.1965946,1.84815,0.04818084,2.1459997,0.8882866,-0.14531544,-0.15380052,-0.9024843,-0.42240655
WM793,0.36987007,-2.4153352,1.1603087,1.130975,1.9984775,0.16984262,-0.29939044,1.0061315,0.76226157,1.4194897,-1.2110533,-1.0230968,0.13730696,0.7031756,1.0537416,-1.190998,0.03728709,-0.16263323,-1.6324706,-0.74491775,0.3953063,-1.239913,0.6903071,-1.0950395,1.8121912,0.9846837,0.7256626,-1.5189563,2.1711142,1.2104212,-1.1670723,-0.4078624,-1.6680533,0.13546707,1.1957477,-2.2731676,-0.15352322,0.8307687,-2.1165416,0.67113787,0.20628372,-0.13076226,-0.04124745,-0.6769553,-0.06340247,0.17253125,2.9655836,0.7455466,1.0737045,0.59487873,1.027294,-0.4903485,-0.12214871,0.56593317,-0.6063409,-1.3760465,-2.0792198,-0.45919505,1.6517515,-1.0732371,0.3984563,1.9650017,1.5522393,0.31256974,-0.5979038,-0.9391796,-4.1970916
CAL-62,-0.798649,0.60862327,-0.6750211,-1.0214039,-1.353589,-0.96290445,-0.68241477,-0.5351186,-0.36364844,0.5253148,0.2645174,-0.4638294,0.35801834,0.40022302,0.15538754,-0.085617185,-0.0028116098,1.1021082,0.3763596,-0.6302318,-0.19263384,-0.44797894,-0.24750543,0.42459902,0.017909057,1.234438,0.12933329,-0.5109075,-1.0865734,-0.33270946,0.28824967,-0.63835835,-0.32134357,0.71701765,-0.56181383,0.52654076,-0.00012291223,-1.1596622,0.57120234,-0.16862966,1.2214311,-0.52406704,-0.7408746,0.044679776,-0.2124049,0.70772535,-0.55925274,-0.33827806,-0.32944006,-0.16369183,-0.06544623,0.030147294,0.32198042,-0.90418816,-0.38037294,0.6090124,0.6485629,-0.65111655,-0.42971164,0.20223819,-0.0895451,-0.1905009,-0.022066176,0.01834067,0.86152387,0.1350963,0.40860313
NCI-H1563,1.2320726,-0.08356637,-2.12553,0.21563324,3.7265115,3.285569,1.9976573,-0.04511136,-1.7873473,-1.0339618,-2.5833092,1.6256268,0.40110266,0.09572047,-1.6681187,-3.8679793,0.19514759,0.67456764,-1.5206742,0.686707,1.4453112,2.634693,2.452258,3.0729046,-3.2374177,0.051765714,-2.1707566,-1.2542095,1.4050761,2.7071848,-1.3834586,0.9237001,-0.96239835,-1.7657986,1.8907578,0.5141495,0.57021505,1.4957352,-1.5388321,0.28237045,-4.8302836,-1.7572374,2.2191133,-1.7356765,-3.6308482,-2.1219053,1.9748201,-0.03902552,2.2736995,-2.4230793,-2.2882788,0.23241013,0.095448546,1.8200742,-1.1550941,1.590789,-0.023718603,1.0849128,1.16107,0.79819775,-0.91228354,0.18882705,0.30803487,1.1956589,-4.4011707,0.041918337,1.6534479
IA-LM,-0.37075096,0.85463184,-0.75062,-0.6558464,-0.7054432,-0.8721378,-0.8155178,-0.83575046,-0.41002527,0.49724388,0.38794497,0.43868452,0.0069737397,0.6991352,-0.5010597,-0.14874701,-0.04056175,1.1429496,0.10311881,-0.39856964,0.020306746,-0.6434316,-0.22714888,0.54201525,0.5033147,0.87266284,0.014661478,-0.45294663,-0.6084951,-0.6354285,-0.2729789,0.007602424,-0.34004,0.2993936,-0.23058002,0.017228879,-0.23844855,-0.7753797,0.028819941,0.33570328,0.36585993,-0.26158345,-0.18299009,-0.3051856,0.54885155,0.26400086,-0.70834494,-0.4878327,0.08445889,0.61164016,-0.8741213,0.15052335,-0.04326527,-1.3544589,-0.44876033,0.19734903,0.4361991,-0.09450333,-0.32039145,0.30789205,0.03290863,-0.33988047,-0.43493986,-0.01823087,0.5902694,0.32399356,0.6054413
NCI-H2291,-1.7725247,-0.30471152,0.52406764,2.2416005,0.98134756,0.60513026,0.5101824,2.8625238,2.3650239,1.0568907,-0.8311869,0.658496,-0.19083893,-0.47033787,0.72397625,0.28617418,0.50957745,1.5716776,-0.17997095,0.668902,-2.0344381,0.62349254,2.0442207,-2.2259302,1.2791488,0.02690947,-0.014595471,0.89874995,2.75989,1.7338771,-0.31794307,-0.016614981,0.9948842,-0.9819595,1.9130635,0.7497294,-1.8072891,-1.2122333,0.40840903,-0.26455978,-3.218742,0.18611854,1.9997969,0.023085713,-2.319269,3.1552138,1.2650847,1.6262394,0.10106613,-0.005473382,2.0145879,-1.1627922,1.1522455,2.453004,0.5252228,0.9552098,-1.0291525,0.5397606,1.1340392,-0.4041795,0.009104051,-0.15293711,0.6823242,-2.3256316,-0.8047633,0.28246453,-1.4799114
SK-MEL-2,3.5548193,2.070042,-1.2160845,1.4991728,1.5610701,-1.257402,4.373068,0.7107753,-0.8539771,-2.579026,1.1599538,-1.4553714,-3.833896,2.575984,-0.7177546,1.9122021,-1.1777226,-0.22421095,-2.3939104,2.9123805,-4.676833,0.8809716,4.3246827,-0.43659967,-0.36444372,-3.4025924,0.0730468,1.105519,2.3918853,0.41691777,0.80359566,-1.1246445,0.85385126,1.5083157,4.1864896,-1.1532221,1.0058316,-0.86674947,1.5705411,-1.3951101,-4.4861403,-0.4420811,0.58010596,2.9061112,-5.016927,-0.2844366,0.37450153,-3.7932627,1.5070989,-1.0578413,-1.1668323,-4.238622,2.9920776,2.1443548,2.9172804,1.1510698,0.68534863,-0.24475935,-0.65353966,4.180707,-2.4267828,0.9908721,0.6527893,-1.7220666,-3.1687472,5.1125093,1.5191779
SALE,-0.79865193,0.73999673,-0.5994633,-0.7206506,-1.3134363,-0.93853563,-0.7195194,-0.48084176,-0.5192617,0.4729823,0.16249828,-0.24828646,0.4170521,0.33689645,0.19289193,-0.16038932,-0.10129595,1.0643538,0.12810096,-0.6218548,-0.06686089,-0.42059055,-0.34532613,0.38585618,0.20067623,1.1182044,0.28987095,-0.6822906,-0.9958212,-0.65325123,0.1572997,-0.8141824,-0.27852634,0.5774587,-0.29919448,0.36336243,-0.041929856,-1.2932217,0.45885074,-0.22793338,0.9996139,-0.30550456,-0.5317974,-0.4543633,0.06597774,0.75145954,-0.35400587,-0.33506742,-0.3120234,-0.28899902,0.057057917,0.32698694,0.17921223,-0.9094468,-0.40834767,0.47726,0.48855084,-0.41749167,-0.22155228,0.17706658,-0.040214807,-0.10076706,-0.38867518,0.25995043,0.8561168,0.5590265,0.2805928
KOPN-8,-0.7860268,0.29122886,-0.23393846,-1.0029049,-0.8456033,-0.94461435,-0.58769435,-0.31014514,-0.25318888,1.0822126,-0.16223392,-0.56072724,0.769814,0.76412857,0.08036962,0.04725747,-0.13886192,0.748038,0.09649037,-0.8470365,-0.3546033,0.10386212,-0.21911299,0.46511382,-0.23506501,1.6839064,0.007547818,-0.96606636,-1.0367194,0.26043284,0.52505505,-0.7756344,-0.120602444,0.65914655,-0.38863024,0.5321787,0.24057332,-1.0016016,0.48876736,-0.19992341,0.41976887,-0.5914117,-0.82076335,-0.015716225,-0.34722665,0.6033765,-0.55416274,-0.20639631,0.18986057,-0.85073376,0.051970277,0.32802415,0.13657644,-0.3007005,-0.619254,1.1625686,0.14250813,-0.87157106,0.026835099,0.15790175,-0.3587705,-0.4301159,-0.48837352,-0.4481255,0.4675674,-0.032062896,0.44721422
NCI-H2122,1.3269635,0.6133688,-0.0020823423,0.416927,2.1588244,0.70285535,0.07749279,0.49851277,-0.45440042,0.9492363,-1.0659422,1.2898215,-0.017574599,-0.61917055,-0.33095974,-0.4470647,-0.62189937,-0.7740565,-0.5073273,-0.19692227,-0.37496027,2.9371524,0.8740293,0.5889692,-2.4167578,0.58663493,-0.38485613,-0.034370452,-0.8864014,2.376268,-0.7179098,-0.53020316,-0.57450044,-1.6087098,1.0353856,0.48184398,1.0244019,1.3114561,-1.3749886,0.24112853,-2.3074832,-0.28342763,0.5064266,-1.1472822,0.36726284,-0.6772615,0.112908654,0.041485533,0.940404,-1.124278,-2.054317,1.1492196,-1.2872866,1.1233366,-0.9525456,0.08193305,-0.8122475,0.04075007,0.16428992,0.44033888,0.044135585,-0.5909364,0.10213696,-0.99262506,-0.7322289,0.540263,-0.06685205
SK-MEL-3,0.69782895,-0.19735855,0.9849785,0.7161424,1.4311584,1.4270768,1.2955111,1.8691494,0.15950882,-1.5003906,0.4868831,-0.15771352,-0.8384111,-1.2995876,-0.28520656,0.61881536,0.44244093,-0.89252126,-0.24893758,1.4401703,-0.14198948,0.5957629,2.0776095,-0.23978736,0.7457871,-0.7237716,-1.5362784,0.8079369,1.9550283,1.4632244,-0.2071006,0.29145557,0.94771296,-1.213766,1.5580841,0.27829278,0.52966344,1.995239,-0.11958961,0.04306439,-2.5734644,0.16843095,1.1948075,0.97703964,0.10951585,-0.9476785,0.07264224,-0.50205034,0.55189043,-0.7682794,0.24750972,-0.28421113,0.23944993,2.7841072,1.5140057,-0.20310125,0.1613819,-0.49988982,-0.35938928,0.5993554,0.2133342,-0.15606514,0.94670206,-1.8817005,0.0056344345,1.3575712,1.3915823
NCI-H727,-0.58180976,1.7589549,0.52189064,-0.45705155,-0.15010267,-0.17978323,-0.025821492,0.85971117,1.0492241,-1.4391205,-0.28964666,2.6273243,-0.7700951,0.6587276,0.03485498,-0.01369831,1.5355862,0.21706617,0.054333575,-1.1069123,-1.3319112,3.4509816,0.040719703,0.9543443,-1.4847876,0.9846796,-0.7911559,-0.56229246,-0.46063954,-0.58139056,1.6500201,-1.5621954,-0.067321055,2.134433,1.9001176,-0.9423437,1.2231212,-2.842081,0.62138337,-0.07996936,-3.2735705,-0.7925757,-1.5213691,3.218591,-2.6248388,2.2867064,-0.63573235,2.7849498,0.92890775,-1.2807598,0.6920173,-0.34262916,1.3206137,1.4192777,-0.29814643,1.7748804,-0.32876167,-1.3498256,0.12822977,1.4276958,-3.5290885,-0.4790996,-1.6712052,-0.94673944,-1.3934611,0.95902574,-2.3886042
SLR20,1.9316617,1.2804786,-1.0539002,1.1755384,0.12348018,1.0259572,0.8738137,-0.2532621,0.020513922,-0.5623699,-0.31250817,0.17821568,-1.1925247,-0.38145047,-1.180614,-0.5484065,-0.2814309,0.1637997,-0.9355672,1.087774,-0.27522144,-0.5030715,0.4454812,0.4269253,-0.23286514,-0.88893384,-1.107389,1.216297,1.3589736,-1.0912068,-0.13484927,0.8930891,-0.21243358,-0.22867098,1.4765377,-0.22622031,0.22855882,0.761004,-1.2703149,-0.21382603,-1.4133991,-0.46071914,1.1738092,-0.11945295,0.69202524,-0.8668641,0.31453687,-0.50218534,0.87858355,0.8509483,-1.2245054,0.6077231,-0.026532974,-1.0105958,1.2004215,-1.0993135,0.66627765,1.95087,0.22636762,0.50977504,0.9718429,0.60618365,1.5901128,0.01840505,-0.16387944,0.5970429,0.5004058
SNU-324,-1.888364,-1.2396758,5.029641,1.3157706,1.3840411,0.8322047,1.2540597,5.213149,2.353155,-0.6699766,-0.4470877,-1.7289445,-1.6544615,-0.806049,1.5945051,3.022854,2.2328465,0.16763213,0.08798743,1.7003312,-3.66345,0.30405125,4.5197773,-3.2008765,1.9963909,1.6636666,-1.1016304,0.76815885,3.4123158,3.0627918,-0.008366391,-2.5990992,1.159719,-2.291422,4.7924523,0.12539652,0.059119,1.4887776,1.4845363,0.7853774,-3.7298546,0.655029,0.7524534,3.8624218,-3.0686588,2.6909187,1.3166534,0.7950846,0.7448408,-2.463078,3.1340098,-2.4128432,1.9947921,7.294024,0.95055515,1.6039022,-1.7509247,-3.1983988,1.6214377,1.2275647,-0.6260866,-0.35358468,1.6081438,-3.7647142,-1.6468925,1.7547723,-1.7466128
K-562,-0.83292234,0.8721401,-0.40604842,-0.95749307,-1.273647,-1.0818572,-0.5471306,-0.5217496,-0.50970435,0.5554763,0.37423286,0.101590216,0.6926546,0.46148422,0.07931773,-0.06164667,-0.0023779888,1.1356022,0.28862524,-0.5754951,-0.12731133,-0.51416993,-0.11455396,0.44926575,0.09622732,1.2811383,0.16906962,-0.62028664,-1.1357229,-0.31873146,0.2664989,-0.59457815,-0.34647766,0.59661436,-0.5868288,0.519379,-0.105639,-1.2629791,0.5688605,0.04810752,1.2457126,-0.3655613,-0.7288307,-0.064001404,-0.16796386,0.6064495,-0.52958107,-0.33775252,-0.31510043,0.09829783,0.017347682,0.090538375,0.23970488,-0.965571,-0.48011574,0.61145955,0.62788695,-0.61506474,-0.34680966,0.18269101,-0.09152494,-0.16615665,-0.17539677,-0.26969028,0.41906542,-0.11997078,0.31122524
SUIT-2,4.5449433,-0.5170597,-0.5047313,0.4876569,0.7268861,1.5079683,2.1889749,2.0943289,0.12337601,-2.478739,-0.3285622,1.068556,-1.576836,-1.6537045,0.59398836,1.5556943,-0.9158069,-2.3674548,-0.31169924,2.6804008,0.94107103,-0.84674716,-0.06795336,-0.16254294,-0.9982166,-5.536101,-0.956805,1.3569059,1.8755287,-2.5788708,3.0093966,2.4025323,2.5155065,0.1699016,1.0827972,-1.7440658,-2.1513128,1.5832118,-2.2074435,-0.2032826,-1.1367841,0.3030541,1.2361141,0.30453777,0.33395553,-2.986371,0.8813892,1.3757974,0.057621203,-2.0869586,0.3205173,-1.157328,-0.013626479,0.4955933,1.737263,-1.5777775,-0.39942923,2.0173557,-1.4552718,-0.3545941,0.27934274,2.0784428,1.0516026,0.009947628,-0.63312906,2.5389292,2.480565
TOV-21G,-0.7961021,0.7010907,-0.7137059,-0.81279755,-1.3246492,-0.91323113,-0.5895487,-0.5585134,-0.49044746,0.33435398,0.2946247,-0.21235058,0.6133404,0.4374006,0.22790933,-0.21207413,-0.013720969,1.0305691,0.44159675,-0.49675694,0.018659532,-0.37707317,-0.6747978,0.51385117,0.03727074,1.2357389,0.09382777,-0.75386477,-1.1245148,-0.43300685,0.20584588,-0.4168465,-0.33117527,0.7115557,-0.7408409,0.5185905,-0.12719856,-1.3452177,0.57959676,-0.15907994,1.2130066,-0.72796357,-0.6600068,-0.3546725,-0.3257051,0.80690026,-0.1621291,-0.30346087,-0.29227185,0.4084151,-0.10347708,-0.069862634,0.18737097,-0.8569634,-0.42006558,0.62466216,0.6080254,-0.51865435,-0.33984023,0.1841408,-0.040128164,-0.18255483,-0.53636175,-0.21621421,0.78507066,-0.63746816,0.35148934
JMSU-1,-0.9847503,0.73612267,-0.5395482,-0.8827208,-1.2974615,-0.90461946,-0.64215916,-0.5401607,-0.5276825,0.637181,0.2847953,-0.076736175,0.66740996,0.38500956,0.06591749,-0.22627556,-0.035737723,1.1074303,0.3933519,-0.5818767,-0.120011024,-0.38315406,-0.42981634,0.48704737,0.14710563,1.1972164,0.36540553,-0.57179826,-1.0452695,-0.1254727,0.21081626,-0.94254863,-0.31572166,0.75272167,-0.8463983,0.42572856,-0.14350592,-1.4320806,0.50492245,-0.10656716,0.8747351,-0.32657313,-0.53161514,-0.36687484,0.0820159,0.54324555,-0.3750015,-0.2917189,-0.2826504,0.112491325,-0.25329915,0.043151215,0.25662243,-1.0534894,-0.4887234,0.62322927,0.5774703,-0.45315027,-0.3333913,0.18735915,-0.021767804,-0.14984542,-0.8281995,0.064641446,0.81309354,-0.59411395,0.3557218
